epoch,dice_coef,val_dice_coef,loss,val_loss,,lr
0,0.404439032,0.007373085,0.815361619,1.293704867,,0.001
1,0.594813824,0.437820137,0.652865529,0.693169236,,0.001
2,0.647516131,0.53764838,0.601267815,0.691194057,,0.001
3,0.675473988,0.012053851,0.582681358,1.199584842,,0.001
4,0.695249617,0.424972743,0.566022396,0.808140576,,0.001
5,0.721988082,0.613237739,0.54608947,0.610043287,,0.001
6,0.727351844,0.640616059,0.537301004,0.55767113,,0.001
7,0.750276804,0.649450183,0.518981457,0.54888624,,0.001
8,0.758529782,0.517295361,0.509359002,0.619814873,,0.001
9,0.764642835,0.663710952,0.495399565,0.509413302,,0.001
10,0.779326499,0.693305492,0.485878617,0.515076399,,0.001
11,0.787119627,0.617952466,0.478943437,0.607700109,,0.001
12,0.803074837,0.67608273,0.460519016,0.54515785,,0.001
13,0.807256639,0.409511536,0.454568326,0.69678551,,0.001
14,0.820242763,0.715160131,0.444815338,0.466006577,,0.001
15,0.836559415,0.558409274,0.432820469,0.57524693,,0.001
16,0.824176431,0.665259242,0.396779567,0.529932678,,0.001
17,0.826999664,0.487019777,0.387497962,0.739956021,,0.001
18,0.82914263,0.695101142,0.384159952,0.474232465,,0.001
19,0.800927103,0.321982086,0.404304624,1.086783171,,0.001
20,0.801784694,0.701656342,0.398331583,0.42989257,,0.001
21,0.802013934,0.636230886,0.38357228,0.528129637,,0.001
22,0.809700847,0.720141411,0.36913076,0.408227533,,0.001
23,0.809592068,0.558538496,0.367284179,0.795379043,,0.001
24,0.817188859,0.724571347,0.355100155,0.403970659,,0.001
25,0.814499974,0.749850452,0.358060271,0.395469368,,0.001
26,0.821516871,0.748995602,0.338414282,0.36589992,,0.001
27,0.817053914,0.448852003,0.34214136,0.888431072,,0.001
28,0.827481866,0.733071923,0.328729004,0.418939382,,0.001
29,0.823809326,0.718601942,0.333806515,0.359107316,,0.001
30,0.821253717,0.617012262,0.332797199,0.535578191,,0.001
31,0.815122962,0.553049862,0.352401704,0.48372829,,0.001
32,0.822666168,0.772422254,0.338690162,0.32191664,,0.001
33,0.828824282,0.686861157,0.326642215,0.455235958,,0.001
34,0.816597939,0.770516157,0.345494032,0.322025359,,0.001
35,0.829886913,0.727441728,0.318060517,0.341290176,,0.001
36,0.835546732,0.778854907,0.318385184,0.325478196,,0.001
37,0.820489466,0.045535062,0.341562301,1.193836927,,0.001
38,0.830955446,0.428691745,0.315162152,0.588692248,,0.001
39,0.84748143,0.668535054,0.301622599,0.373876035,,0.001
40,0.83961606,0.773738801,0.308835149,0.324621916,,0.001
41,0.852978468,0.73287636,0.280029148,0.326920748,,0.0005
42,0.865745604,0.682557106,0.258817881,0.442724019,,0.0005
43,0.862791896,0.790168881,0.258068055,0.281071097,,0.0005
44,0.868281603,0.777480662,0.259047925,0.330708444,,0.0005
45,0.869392693,0.816606283,0.252206445,0.265599161,,0.0005
46,0.87623328,0.807000816,0.241931975,0.2905972,,0.0005
47,0.867981076,0.797835886,0.247204438,0.305366844,,0.0005
48,0.87232393,0.767171085,0.246055186,0.28892082,,0.0005
49,0.866090715,0.661266387,0.255114675,0.3828637,,0.0005
50,0.871033669,0.819230318,0.243226871,0.276685208,,0.0005
51,0.875392854,0.813866615,0.238187164,0.24962835,,0.0005
